"School Year","English Grammar Point","Korean Name","Example Sentence (English)","Example Sentence (Korean)"
"Middle School 1st Year","Present simple tense","현재 시제","She eats breakfast every day.","그녀는 매일 아침 식사를 합니다."
"Middle School 1st Year","Present continuous tense","현재 진행형","They are studying English now.","그들은 지금 영어를 공부하고 있습니다."
"Middle School 1st Year","Past simple tense","과거 시제","He visited his grandmother yesterday.","그는 어제 할머니를 방문했습니다."
"Middle School 1st Year","Articles (a, an, the)","관사","I saw a cat in the garden.","나는 정원에서 고양이 한 마리를 봤어요."
"Middle School 2nd Year","Modal verbs (can, could, will)","조동사","She can swim very well.","그녀는 수영을 아주 잘 할 수 있어요."
"Middle School 2nd Year","Past continuous tense","과거 진행형","He was watching TV when I called.","내가 전화했을 때 그는 TV를 보고 있었습니다."
"Middle School 2nd Year","Present perfect simple","현재 완료 시제","I have finished my homework.","나는 숙제를 끝냈어요."
"Middle School 2nd Year","Comparatives and superlatives","비교급 / 최상급","This book is more interesting than that one.","이 책이 저 책보다 더 재미있어요."
"Middle School 3rd Year","Passive voice","수동태","The letter was written by her.","편지는 그녀에 의해 쓰여졌어요."
"Middle School 3rd Year","Conditionals (type 0 and 1)","조건문","If it rains, the ground gets wet.","비가 오면, 땅이 젖어요."
"Middle School 3rd Year","Reported speech","간접화법","He said that he was tired.","그는 피곤하다고 말했어요."
"Middle School 3rd Year","Relative clauses","관계절","The woman who lives next door is kind.","옆집에 사는 여자는 친절해요."
"Middle School 3rd Year","Gerunds and infinitives","동명사와 부정사","She enjoys reading books.","그녀는 책 읽는 것을 즐겨요."
"High School 1st Year","Conditionals (type 2 and 3)","가정법 과거/과거완료","If I had money, I would travel more.","돈이 있다면, 더 여행을 다닐 거예요."
"High School 1st Year","Advanced modals (might, would, should)","고급 조동사","You should see a doctor.","병원에 가는 게 좋겠어요."
"High School 1st Year","Complex sentence connectors","복합 접속사","Although it was raining, we went outside.","비가 왔지만, 우리는 밖에 나갔어요."
"High School 1st Year","Noun clauses","명사절","I believe that she is honest.","나는 그녀가 정직하다고 믿어요."
"High School 1st Year","Emphatic structures","강조구문","I do like chocolate.","나는 정말로 초콜릿을 좋아해요."
"High School 2nd Year","Inversion and fronting","도치와 전치","Never have I seen such a beautiful view.","나는 그렇게 아름다운 경치를 본 적이 없어요."
"High School 2nd Year","Subjunctive mood","가정법 (접속법)","I wish I were taller.","내가 더 키가 컸으면 좋겠어요."
"High School 2nd Year","Advanced relative clauses","고급 관계절","The book that I bought yesterday is great.","내가 어제 산 책은 정말 좋아요."
"High School 2nd Year","Nominalization","명사화","His failure surprised everyone.","그의 실패는 모두를 놀라게 했어요."
"High School 2nd Year","Ellipsis and substitution","생략과 대용","I can play the guitar, and she can too.","나는 기타를 칠 수 있고, 그녀도 그럴 수 있어요."
"High School 3rd Year","Advanced tense and aspect combinations","복합 시제와 상","She has been working here for five years.","그녀는 5년 동안 여기서 일해 왔어요."
"High School 3rd Year","Advanced passive and causative forms","고급 수동태와 사동태","He was made to apologize.","그는 사과하도록 시켰어요."
"High School 3rd Year","Stylistic grammar for persuasion and argumentation","설득 및 논증 문법","It is important that we take action now.","지금 행동하는 것이 중요합니다."